Rotation,ABMI Site,Year,Field Date,Field Crew Member(s),Identification Date,Identification Analyst,Point Count Station,Wind Conditions,Precipitation,Start of Point Count  (24 hour clock),End of Point Count (24-hr clock),Common Name,Scientific Name,Taxonomic Resolution,Unique Taxonomic Identification Number,Time First Detected (seconds),Interval 1 (0-200 seconds),Interval 2 (201-400 seconds),Interval 3 (401-600 seconds),Behaviour,Tally,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,90,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Cape May Warbler,Dendroica tigrina,Species,178887,400,0,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,American Robin,Turdus migratorius,Species,179759,50,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Northern Waterthrush,Seiurus noveboracensis,Species,178931,480,0,0,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Northern Waterthrush,Seiurus noveboracensis,Species,178931,10,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Northern Waterthrush,Seiurus noveboracensis,Species,178931,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,530,0,0,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,70,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,20,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,5,0,None,7:55,DNC,Yellow-rumped Warbler,Dendroica coronata,Species,178891,160,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Yellow-rumped Warbler,Dendroica coronata,Species,178891,0,1,0,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,350,0,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,110,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Ruby-crowned Kinglet,Regulus calendula,Species,179870,0,1,0,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Olive-sided Flycatcher,Contopus cooperi,Species,554221,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Least Flycatcher,Empidonax minimus,Species,178344,10,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Gray Jay,Perisoreus canadensis,Species,179667,290,0,1,0,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Chipping Sparrow,Spizella passerina,Species,179435,120,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Black And White Warbler,Mniotilta varia,Species,178844,220,0,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,100,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,210,0,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,6,2,None,8:24,DNC,Dark-eyed Junco,Junco hyemalis,Species,179410,180,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Brown-headed Cowbird,Molothrus ater,Species,179112,550,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Dark-eyed Junco,Junco hyemalis,Species,179410,0,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Ovenbird,Seiurus aurocapilla,Species,726205,210,0,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Red-eyed Vireo,Vireo olivaceus,Species,179021,450,0,0,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Mallard,Anas platyrhynchos,Species,175063,70,1,0,0,Fly Over,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,20,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,330,0,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Northern Flicker,Colaptes auratus,Species,178154,180,1,0,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,110,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,370,0,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Chipping Sparrow,Spizella passerina,Species,179435,260,0,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Gray Jay,Perisoreus canadensis,Species,179667,130,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Gray Jay,Perisoreus canadensis,Species,179667,110,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Hermit Thrush,Catharus guttatus,Species,179779,40,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Solitary Sandpiper,Tringa solitaria,Species,176615,520,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Common Yellowthroat,Geothlypis trichas,Species,178944,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,30,1,0,0,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,20,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,140,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Least Flycatcher,Empidonax minimus,Species,178344,100,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Olive-sided Flycatcher,Contopus cooperi,Species,554221,10,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,7,0,None,8:51,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,0,1,0,0,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,10,1,0,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,10,1,0,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,White-throated Sparrow,Zonotrichia albicollis,Species,179462,280,0,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Swainson'S Thrush,Catharus ustulatus,Species,179788,70,1,1,0,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Olive-sided Flycatcher,Contopus cooperi,Species,554221,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Red-winged Blackbird,Agelaius phoeniceus,Species,179045,400,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Red-winged Blackbird,Agelaius phoeniceus,Species,179045,400,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Gray Jay,Perisoreus canadensis,Species,179667,30,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Gray Jay,Perisoreus canadensis,Species,179667,200,0,1,0,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Hermit Thrush,Catharus guttatus,Species,179779,80,1,1,0,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,American Crow,Corvus brachyrhynchos,Species,179731,520,0,0,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Red Squirrel,Tamiasciurus hudsonicus,Species,180166,120,1,1,1,Calling,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,470,0,0,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,40,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Tennessee Warbler,Vermivora peregrina,Species,178855,0,1,1,1,Counter-singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,Red-eyed Vireo,Vireo olivaceus,Species,179021,0,1,1,1,Singing,VNA,
Rotation 1,216,2007,14-Jun-07,CHE/ILE,1-Nov-07,TH,8,0,None,9:17,DNC,White-winged Crossbill,Loxia leucoptera,Species,179268,530,0,0,1,Calling,VNA,
